Optode,X,Y,Z
D2,-66.575623,0.708718,22.000824
S1,-65.019264,0.734267,24.614843
D1,-64.681747,-0.993942,27.409096
S3,-64.064201,1.530111,20.961243
D3,-62.854355,1.762383,24.059486
S2,-62.675743,1.043643,26.44042
D5,-60.837402,2.242927,22.434242
S4,-60.484028,1.844751,25.423294
D4,-60.104328,1.09092,27.83742
S6,-58.157299,2.207752,22.216505
D6,-57.330559,1.963473,24.563057
S5,-57.890217,0.662554,27.847643
D8,-55.172977,1.125461,21.563059
S8,-55.232792,0.679917,24.11018
D7,-55.492226,0.411019,26.353334
S7,-55.29108,-1.004011,28.598867
S10,-52.60561,-0.820437,19.36982
D10,-52.23616,-0.816406,22.601923
S9,-53.15696,-1.151995,25.615112
D9,-52.762798,-2.855924,27.517345
D12,-64.714622,-12.434556,21.021059
S11,-64.342606,-12.259591,24.623585
D11,-64.433052,-10.652056,26.926455
S13,-61.981354,-13.235326,21.175547
D13,-61.305485,-13.614663,24.201542
S12,-61.574619,-12.800459,26.127815
D15,-59.266357,-14.12955,21.859425
S14,-58.576706,-13.82121,24.901495
D14,-58.798954,-13.009582,27.399118
S16,-56.263596,-13.652265,21.268368
D16,-55.61047,-13.738451,24.274853
S15,-54.831749,-13.102924,27.210035
D18,-53.996967,-13.531431,19.641487
S18,-53.755096,-12.954096,22.23193
D17,-52.951893,-12.614355,24.656115
S17,-52.910439,-11.318438,27.548122
S20,-51.874786,-11.455287,18.727789
D20,-51.242809,-11.468625,22.089632
S19,-51.814461,-10.272767,24.902596
D19,-52.260338,-8.38422,27.34672
